MouseID,AgeInDays,Phenotyping
DO-40-2022,681,grip
DO-40-2022,849,grip
DO-1D-3022,146,grip
DO-1D-3022,485,grip
DO-1D-3022,681,grip
DO-1D-3022,849,grip
DO-1D-3022,1039,grip
DO-2D-4022,146,grip
DO-2D-4022,485,grip
DO-2D-4022,681,grip
DO-AL-0023,146,grip
DO-AL-0023,301,grip
DO-AL-0023,485,grip
DO-20-1023,146,grip
DO-20-1023,301,grip
DO-20-1023,485,grip
DO-40-2023,146,grip
DO-40-2023,485,grip
DO-40-2023,681,grip
DO-40-2023,849,grip
DO-40-2023,1039,grip
DO-1D-3023,146,grip
DO-1D-3023,485,grip
DO-2D-4023,146,grip
DO-2D-4023,485,grip
DO-2D-4023,681,grip
DO-AL-0024,146,grip
DO-AL-0024,301,grip
DO-AL-0024,485,grip
DO-AL-0024,681,grip
DO-AL-0024,849,grip
DO-20-1024,146,grip
DO-20-1024,301,grip
DO-20-1024,485,grip
DO-20-1024,681,grip
DO-40-2024,146,grip
DO-40-2024,485,grip
DO-40-2024,681,grip
DO-40-2024,849,grip
DO-40-2024,1039,grip
DO-1D-3024,146,grip
DO-1D-3024,485,grip
DO-1D-3024,681,grip
DO-1D-3024,849,grip
DO-1D-3024,1039,grip
DO-2D-4024,146,grip
DO-2D-4024,485,grip
DO-2D-4024,681,grip
DO-AL-0025,146,grip
DO-AL-0025,301,grip
DO-AL-0025,485,grip
DO-AL-0025,681,grip
DO-AL-0025,849,grip
DO-20-1025,146,grip
DO-20-1025,301,grip
DO-20-1025,485,grip
DO-20-1025,681,grip
DO-20-1025,849,grip
DO-20-1025,1039,grip
DO-40-2025,146,grip
DO-40-2025,485,grip
DO-40-2025,681,grip
DO-40-2025,849,grip
DO-40-2025,1039,grip
DO-2D-4025,146,grip
DO-2D-4025,485,grip
DO-AL-0026,146,grip
DO-AL-0026,301,grip
DO-AL-0026,485,grip
DO-AL-0026,681,grip
DO-AL-0026,849,grip
DO-AL-0026,1039,grip
DO-20-1026,146,grip
DO-20-1026,301,grip
DO-20-1026,485,grip
DO-40-2026,146,grip
DO-1D-3026,146,grip
DO-1D-3026,485,grip
DO-1D-3026,681,grip
DO-1D-3026,849,grip
DO-1D-3026,1039,grip
DO-2D-4026,146,grip
DO-2D-4026,485,grip
DO-2D-4026,681,grip
DO-AL-0027,146,grip
