mouse_id,AL,20,40,1D,2D
DO-20-1091,0,1,0,0,0
DO-20-1092,0,1,0,0,0
DO-20-1093,0,1,0,0,0
DO-20-1094,0,1,0,0,0
DO-20-1095,0,1,0,0,0
DO-20-1096,0,1,0,0,0
DO-20-1097,0,1,0,0,0
DO-20-1098,0,1,0,0,0
DO-20-1099,0,1,0,0,0
DO-20-1100,0,1,0,0,0
DO-20-1101,0,1,0,0,0
DO-20-1102,0,1,0,0,0
DO-20-1103,0,1,0,0,0
DO-20-1104,0,1,0,0,0
DO-20-1105,0,1,0,0,0
DO-20-1106,0,1,0,0,0
DO-20-1107,0,1,0,0,0
DO-20-1108,0,1,0,0,0
DO-20-1109,0,1,0,0,0
DO-20-1110,0,1,0,0,0
DO-20-1111,0,1,0,0,0
DO-20-1112,0,1,0,0,0
DO-20-1113,0,1,0,0,0
DO-20-1114,0,1,0,0,0
DO-20-1115,0,1,0,0,0
DO-20-1116,0,1,0,0,0
DO-20-1117,0,1,0,0,0
DO-20-1118,0,1,0,0,0
DO-20-1119,0,1,0,0,0
DO-20-1120,0,1,0,0,0
DO-20-1121,0,1,0,0,0
DO-20-1122,0,1,0,0,0
DO-20-1123,0,1,0,0,0
DO-20-1124,0,1,0,0,0
DO-20-1125,0,1,0,0,0
DO-20-1126,0,1,0,0,0
DO-20-1127,0,1,0,0,0
DO-20-1128,0,1,0,0,0
DO-20-1129,0,1,0,0,0
DO-20-1130,0,1,0,0,0
DO-20-1131,0,1,0,0,0
DO-20-1132,0,1,0,0,0
DO-20-1133,0,1,0,0,0
DO-20-1134,0,1,0,0,0
DO-20-1135,0,1,0,0,0
DO-20-1136,0,1,0,0,0
DO-20-1137,0,1,0,0,0
DO-20-1138,0,1,0,0,0
DO-20-1139,0,1,0,0,0
DO-20-1140,0,1,0,0,0
DO-20-1141,0,1,0,0,0
DO-20-1142,0,1,0,0,0
DO-20-1143,0,1,0,0,0
DO-20-1144,0,1,0,0,0
DO-20-1145,0,1,0,0,0
DO-20-1146,0,1,0,0,0
DO-20-1147,0,1,0,0,0
DO-20-1148,0,1,0,0,0
DO-20-1149,0,1,0,0,0
DO-20-1150,0,1,0,0,0
DO-20-1151,0,1,0,0,0
DO-20-1152,0,1,0,0,0
DO-20-1153,0,1,0,0,0
DO-20-1154,0,1,0,0,0
DO-20-1155,0,1,0,0,0
DO-20-1156,0,1,0,0,0
DO-20-1157,0,1,0,0,0
DO-20-1158,0,1,0,0,0
DO-20-1159,0,1,0,0,0
DO-20-1160,0,1,0,0,0
DO-20-1161,0,1,0,0,0
DO-20-1162,0,1,0,0,0
DO-20-1163,0,1,0,0,0
DO-20-1164,0,1,0,0,0
DO-20-1165,0,1,0,0,0
DO-20-1166,0,1,0,0,0
DO-20-1167,0,1,0,0,0
